Date,Price,Open,High,Low,Change %
5/24/2019,83.77,84.225,84.23,84.225,-0.10%
5/27/2019,84.49,84.495,84.495,84.495,0.86%
5/28/2019,83.77,84.495,84.62,84.135,-0.85%
5/29/2019,84.17,84.495,84.655,84.335,0.48%
5/30/2019,83.93,84.495,84.69,84.215,-0.29%
5/31/2019,84.41,84.41,84.41,84.41,0.57%
6/3/2019,84.25,84.495,84.735,84.375,-0.19%
6/4/2019,84.09,84.58,84.59,84.54,-0.19%
6/5/2019,84.16,84.59,84.65,84.505,0.08%
6/6/2019,84.08,84.53,84.63,84.47,-0.10%
6/7/2019,84.08,84.585,84.59,84.545,0.00%
6/10/2019,84.27,84.495,84.545,84.385,0.23%
6/11/2019,84.27,84.495,84.53,84.385,0.00%
6/12/2019,84.49,84.425,84.535,84.385,0.26%
6/13/2019,84.42,84.495,84.57,84.46,-0.08%
6/14/2019,84.42,84.54,84.55,84.54,0.00%
6/17/2019,84.42,84.495,84.555,84.385,0.00%
6/18/2019,84.42,84.495,84.555,84.385,0.00%
6/19/2019,84.42,84.495,84.55,84.385,0.00%
6/20/2019,84.41,84.495,84.54,84.385,-0.01%
6/21/2019,84.41,84.505,84.535,84.505,0.00%
6/24/2019,84.42,84.495,84.585,84.385,0.01%
6/25/2019,84.42,84.495,84.545,84.385,0.00%
6/26/2019,84.42,84.495,84.575,84.385,0.00%
6/27/2019,84.49,84.495,84.495,84.495,0.08%
6/28/2019,84.495,84.495,84.495,84.495,0.01%
7/1/2019,84.42,84.415,84.52,84.415,-0.09%
7/2/2019,84.42,84.495,84.55,84.46,0.00%
7/3/2019,84.49,84.495,84.495,84.495,0.08%
7/4/2019,84.49,84.495,84.495,84.495,0.00%
7/5/2019,84.495,84.495,84.495,84.495,0.01%
7/8/2019,84.42,84.495,84.555,84.46,-0.09%
7/9/2019,84.41,84.495,84.51,84.455,-0.01%
7/10/2019,84.42,84.495,84.545,84.46,0.01%
7/11/2019,84.49,84.495,84.495,84.495,0.08%
7/12/2019,84.495,84.495,84.495,84.495,0.01%
7/15/2019,84.42,84.495,84.545,84.46,-0.09%
7/16/2019,84.41,84.495,84.545,84.455,-0.01%
7/17/2019,84.41,84.495,84.545,84.455,0.00%
7/18/2019,84.25,84.51,84.595,84.375,-0.19%
7/19/2019,84.25,84.51,84.65,84.425,0.00%
7/22/2019,84.25,84.495,84.56,84.375,0.00%
7/23/2019,84.24,84.495,84.595,84.37,-0.01%
7/24/2019,84.25,84.495,84.59,84.375,0.01%
7/25/2019,84.24,84.495,84.585,84.37,-0.01%
7/26/2019,84.24,84.47,84.52,84.47,0.00%
7/29/2019,84.17,84.495,84.565,84.335,-0.08%
7/30/2019,84.17,84.495,84.595,84.335,0.00%
7/31/2019,84.25,84.495,84.64,84.375,0.10%
8/1/2019,84.25,84.495,84.68,84.375,0.00%
8/2/2019,84.25,84.55,84.66,84.55,0.00%
8/5/2019,84.25,84.495,84.67,84.12,0.00%
8/6/2019,84.25,84.495,84.67,84.375,0.00%
8/7/2019,84.25,84.495,84.67,84.375,0.00%
8/8/2019,84.25,84.495,84.67,84.375,0.00%
8/9/2019,84.25,84.455,84.525,84.425,0.00%
8/12/2019,84.25,84.455,84.595,84.455,0.00%
8/13/2019,84.25,84.455,84.655,84.455,0.00%
8/14/2019,84.25,84.495,84.775,84.375,0.00%
8/15/2019,84.25,84.49,84.57,84.49,0.00%
8/16/2019,84.25,84.655,84.71,84.58,0.00%
8/19/2019,84.25,84.495,84.775,84.375,0.00%
8/20/2019,84.25,84.495,84.53,84.375,0.00%
8/21/2019,84.25,84.495,84.775,84.375,0.00%
8/22/2019,84.25,84.495,84.775,84.375,0.00%
8/23/2019,84.25,84.655,84.655,84.41,0.00%
8/26/2019,84.49,84.495,84.505,84.495,0.28%
8/27/2019,84.49,84.495,84.495,84.495,0.00%
8/28/2019,84.49,84.495,84.495,84.495,0.00%
8/29/2019,84.49,84.495,84.775,84.375,0.00%
8/30/2019,84.495,84.495,84.495,84.495,0.01%
9/2/2019,84.49,84.495,84.495,84.495,-0.01%
9/3/2019,84.25,84.495,84.55,84.375,-0.28%
9/4/2019,84.49,84.495,84.515,84.37,0.28%
9/5/2019,84.25,84.495,84.775,84.375,-0.28%
9/6/2019,84.51,84.51,84.51,84.51,0.31%
9/9/2019,84.25,84.495,84.835,84.375,-0.31%
9/10/2019,84.25,84.655,84.745,84.655,0.00%
9/11/2019,84.25,84.495,84.62,84.375,0.00%
9/12/2019,84.25,84.495,84.64,84.375,0.00%
9/13/2019,84.25,84.53,84.66,84.52,0.00%
9/16/2019,84.25,84.495,84.65,84.375,0.00%
9/17/2019,84.25,84.495,84.72,84.375,0.00%
9/18/2019,84.25,84.61,84.73,84.375,0.00%
9/19/2019,84.25,84.495,84.57,84.375,0.00%
9/20/2019,84.25,84.46,84.54,84.46,0.00%
9/23/2019,84.25,84.495,84.61,84.375,0.00%
9/24/2019,84.25,84.495,84.6,84.375,0.00%
9/25/2019,84.25,84.49,84.61,84.375,0.00%
9/26/2019,84.25,84.495,84.67,84.375,0.00%
9/27/2019,84.55,84.55,84.55,84.55,0.36%
9/30/2019,84.49,84.495,84.495,84.495,-0.07%
10/1/2019,84.49,84.495,84.495,84.495,0.00%
10/2/2019,84.25,84.495,84.64,84.375,-0.28%
10/3/2019,84.25,84.495,84.745,84.375,0.00%
10/4/2019,84.25,84.56,84.66,84.56,0.00%
